,0,1
spin doctors>>two princes,63.56893,-13.5925045
europe>>the final countdown,61.239147,28.034313
pitbull>>give me everything,-13.916605,-3.7118285
no doubt>>dont speak,-52.896572,-38.812073
queens of the stone age>>no one knows,-18.39619,59.27472
foster the people>>houdini,-39.338596,4.99937
lilly wood and the prick>>prayer in c - robin schulz radio edit,5.651209,9.32616
lana del rey>>summertime sadness,33.801926,22.729239
david guetta>>memories feat. kid cudi,-4.2973514,10.429846
disclosure>>white noise,28.96377,-33.38695
robyn>>dancing on my own,0.5714017,-13.418168
the killers>>all these things that ive done,28.756903,-56.37276
haim>>falling,-21.566254,-19.610632
michael jackson>>thriller,64.24334,-13.591748
sam smith>>money on my mind,0.46071604,8.596333
ellie goulding>>anything could happen,32.65299,-51.98876
ed sheeran>>sing,9.753228,7.7572875
frank ocean>>thinkin bout you,17.573067,1.232541
linkin park>>in the end,-53.0231,31.249329
the script>>hall of fame,-14.538701,-3.1507223
daft punk>>give life back to music,-35.774143,-5.926545
beyoncé>>drunk in love,-5.809475,-8.41878
weezer>>buddy holly,-14.139996,-61.83826
keane>>somewhere only we know,36.512592,37.12317
daft punk>>harder better faster stronger,-38.00655,-3.5217488
azealia banks>>212,18.844507,-28.3214
the cure>>just like heaven,-55.344254,31.514217
empire of the sun>>we are the people,48.17869,-10.8114805
a great big world>>say something,9.345126,8.129859
zedd>>clarity,4.9988666,-14.049988
american authors>>best day of my life,8.729286,-19.998991
santigold>>disparate youth,-19.166367,-24.956448
la roux>>bulletproof,6.071279,-16.534399
florence + the machine>>youve got the love,32.897644,-36.96601
maroon 5>>one more night,3.2142475,11.294481
dj snake>>turn down for what,14.419454,-6.2733893
amy winehouse>>back to black,-7.145929,-63.318684
george ezra>>budapest,8.923233,-19.75842
ariana grande>>break free,9.212797,-20.41714
kanye west>>gold digger,-9.79478,-3.5844786
bruno mars>>when i was your man,14.18595,-13.295812
foo fighters>>learn to fly,-43.16911,48.840714
muse>>starlight,59.90514,34.11012
gorillaz>>clint eastwood,-31.14716,-57.795174
beyoncé>>crazy in love,2.5637846,-13.807513
katy perry>>california gurls - feat. snoop dogg,6.793255,-17.220684
vampire weekend>>diane young,-19.18558,-25.056036
system of a down>>chop suey!,-31.79525,-57.69399
the kooks>>naive,-12.452196,49.17823
guns n roses>>november rain,5.6894045,68.90778
maroon 5>>payphone,3.4210505,11.377288
